scope,scope_cn,event_code,effect,event_template,group_dimension,group_value,validator,value_scale,observed_rounds,round_counts_json,session_count,offered_count,selected_count,resolved_count,observed_value_min,observed_value_median,observed_value_max,reported_item_count_min,reported_item_count_max,reported_cell_count_min,reported_cell_count_max,protocol_quality_codes,protocol_catalog_item_count,validation_eligible,validation_match_count,validation_match_rate,semantic_status,text_status,coverage_status,evidence_basis
personal,个人事件,201,reveal_position_random,随机显示4件藏品的位置,random,4,fixed_item_count,1,"1,2,3","{""1"": 511, ""2"": 212, ""3"": 937}",1145,1660,561,569,0,0,0,0,4,0,4,[],0,561,559,0.996435,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
personal,个人事件,301,quality_item_count,显示本局白色品质藏品数量,quality,白,quality_白_count,1,"1,4","{""1"": 285, ""4"": 133}",399,418,154,156,0,3.0,10,0,0,0,0,[],0,156,144,0.923077,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
personal,个人事件,302,quality_item_count,显示本局蓝色品质藏品数量,quality,蓝,quality_蓝_count,1,"1,4","{""1"": 304, ""4"": 132}",418,436,138,143,1,6,17,0,0,0,0,[],0,139,137,0.985612,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
personal,个人事件,303,quality_item_count,显示本局紫色品质藏品数量,quality,紫,quality_紫_count,1,"1,4","{""1"": 330, ""4"": 137}",442,467,159,161,3,10,25,0,0,0,0,[],0,161,159,0.987578,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
personal,个人事件,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,"1,2,3,4","{""1"": 513, ""2"": 225, ""3"": 937, ""4"": 322}",1177,1997,646,666,0,0.0,0,2,2,2,2,"[1, 2, 3, 4, 5]",0,660,660,1.0,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
personal,个人事件,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,"1,2,3,4","{""1"": 541, ""2"": 1128, ""3"": 937, ""4"": 363}",1287,2969,953,965,0,0,0,0,1,0,9,"[1, 2, 3, 4, 5]",960,958,955,0.996868,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
personal,个人事件,601,quality_total_value,计算本局白色品质藏品总价值,quality,白,quality_白_total_value,1,"1,4","{""1"": 355, ""4"": 149}",474,504,169,172,1420,17953.5,81748,0,0,0,0,[],0,171,154,0.900585,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
personal,个人事件,602,quality_total_value,计算本局蓝色品质藏品总价值,quality,蓝,quality_蓝_total_value,1,"1,4","{""1"": 304, ""4"": 106}",401,410,152,153,2446,117199,344920,0,0,0,0,[],0,151,149,0.986755,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
personal,个人事件,603,quality_total_value,计算本局紫色品质藏品总价值,quality,紫,quality_紫_total_value,1,"1,4","{""1"": 301, ""4"": 121}",406,422,138,141,201596,807154,1975077,0,0,0,0,[],0,140,128,0.914286,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
personal,个人事件,1701,reveal_position_by_quality,显示所有白色品质藏品的位置,quality,白,quality_白_count,1,5,"{""5"": 351}",351,351,109,111,0,0,0,1,12,1,12,[],0,111,97,0.873874,high_confidence_empirical_mapping,reconstructed_template_not_verbatim_game_text,observed_in_current_protocol_data_not_proof_of_full_game_event_pool,protocol_code_family+payload_shape+parsed_final_map_reconciliation
