session_id,round,scope,event_code,effect,event_template,group_dimension,group_value,validator,value_scale,observed_value,reported_item_count,reported_cell_count,quality_codes,catalog_item_count,validation_expected,validation_matches,capture_sequence
session_4ef618f1cd150c5c,1,public,304,quality_item_count,显示本局金色品质藏品数量,quality,金,quality_金_count,1,21,0,0,[],0,21,True,4
session_4ef618f1cd150c5c,1,personal,1901,quality_average_area,计算本局所有白色品质藏品的平均占用格数,quality,白,quality_白_average_area,100,233,0,0,[],0,233.333333,True,11
session_4ef618f1cd150c5c,2,public,104,reveal_outline_by_size,显示所有规格为2×1的藏品轮廓,size,2x1,size_2x1_count,1,0,4,8,[],0,4,True,19
session_4ef618f1cd150c5c,2,personal,1804,size_average_value,计算本局所有规格为2×1的藏品平均价值,size,2x1,size_2x1_average_value,1,82990,0,0,[],0,82990.0,True,24
session_4ef618f1cd150c5c,3,public,502,reveal_identity_random,随机完整揭示3件藏品,random,3,fixed_item_count,1,0,3,6,"[3, 5]",3,3,True,34
session_4ef618f1cd150c5c,3,personal,201,reveal_position_random,随机显示4件藏品的位置,random,4,fixed_item_count,1,0,4,4,[],0,4,True,39
session_4ef618f1cd150c5c,4,public,109,reveal_outline_by_size,显示所有规格为3×3的藏品轮廓,size,3x3,size_3x3_count,1,0,1,9,[],0,1,True,49
session_4ef618f1cd150c5c,4,personal,1905,quality_average_area,计算本局所有彩色品质藏品的平均占用格数,quality,彩,quality_彩_average_area,100,500,0,0,[],0,500.0,True,56
session_4ef618f1cd150c5c,5,public,604,quality_total_value,计算本局金色品质藏品总价值,quality,金,quality_金_total_value,1,3873610,0,0,[],0,3873610,True,64
session_4ef618f1cd150c5c,5,personal,1702,reveal_position_by_quality,显示所有蓝色品质藏品的位置,quality,蓝,quality_蓝_count,1,0,10,10,[],0,10,True,71
session_5a5e8dd0c08c0bbe,1,public,1001,max_value_per_cell,显示本局单个单位格最高价值,global,max_value_per_cell,max_value_per_cell,1,634870,0,0,[],0,634870.75,False,85
session_5a5e8dd0c08c0bbe,1,personal,1902,quality_average_area,计算本局所有蓝色品质藏品的平均占用格数,quality,蓝,quality_蓝_average_area,100,285,0,0,[],0,285.714286,False,92
