session_id,round,scope,option_index,event_code,effect,event_template,group_dimension,group_value,validator,value_scale,selected,capture_sequence
session_4ef618f1cd150c5c,1,public,0,304,quality_item_count,显示本局金色品质藏品数量,quality,金,quality_金_count,1,True,4
session_4ef618f1cd150c5c,1,personal_option,1,1901,quality_average_area,计算本局所有白色品质藏品的平均占用格数,quality,白,quality_白_average_area,100,,4
session_4ef618f1cd150c5c,1,personal_option,2,601,quality_total_value,计算本局白色品质藏品总价值,quality,白,quality_白_total_value,1,,4
session_4ef618f1cd150c5c,1,personal_option,3,201,reveal_position_random,随机显示4件藏品的位置,random,4,fixed_item_count,1,,4
session_4ef618f1cd150c5c,2,public,0,104,reveal_outline_by_size,显示所有规格为2×1的藏品轮廓,size,2x1,size_2x1_count,1,True,19
session_4ef618f1cd150c5c,2,personal_option,1,1805,size_average_value,计算本局所有规格为2×2的藏品平均价值,size,2x2,size_2x2_average_value,1,,19
session_4ef618f1cd150c5c,2,personal_option,2,1804,size_average_value,计算本局所有规格为2×1的藏品平均价值,size,2x1,size_2x1_average_value,1,,19
session_4ef618f1cd150c5c,2,personal_option,3,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,19
session_4ef618f1cd150c5c,3,public,0,502,reveal_identity_random,随机完整揭示3件藏品,random,3,fixed_item_count,1,True,34
session_4ef618f1cd150c5c,3,personal_option,1,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,34
session_4ef618f1cd150c5c,3,personal_option,2,401,reveal_position_quality_random,随机显示2件藏品的位置与品质,random,2,fixed_item_count,1,,34
session_4ef618f1cd150c5c,3,personal_option,3,201,reveal_position_random,随机显示4件藏品的位置,random,4,fixed_item_count,1,,34
session_4ef618f1cd150c5c,4,public,0,109,reveal_outline_by_size,显示所有规格为3×3的藏品轮廓,size,3x3,size_3x3_count,1,True,49
session_4ef618f1cd150c5c,4,personal_option,1,1905,quality_average_area,计算本局所有彩色品质藏品的平均占用格数,quality,彩,quality_彩_average_area,100,,49
session_4ef618f1cd150c5c,4,personal_option,2,1902,quality_average_area,计算本局所有蓝色品质藏品的平均占用格数,quality,蓝,quality_蓝_average_area,100,,49
session_4ef618f1cd150c5c,4,personal_option,3,501,reveal_identity_random,随机完整揭示1件藏品,random,1,fixed_item_count,1,,49
session_4ef618f1cd150c5c,5,public,0,604,quality_total_value,计算本局金色品质藏品总价值,quality,金,quality_金_total_value,1,True,64
session_4ef618f1cd150c5c,5,personal_option,1,1701,reveal_position_by_quality,显示所有白色品质藏品的位置,quality,白,quality_白_count,1,,64
session_4ef618f1cd150c5c,5,personal_option,2,1702,reveal_position_by_quality,显示所有蓝色品质藏品的位置,quality,蓝,quality_蓝_count,1,,64
session_4ef618f1cd150c5c,5,personal_option,3,1703,reveal_position_by_quality,显示所有紫色品质藏品的位置,quality,紫,quality_紫_count,1,,64
session_5a5e8dd0c08c0bbe,1,public,0,1001,max_value_per_cell,显示本局单个单位格最高价值,global,max_value_per_cell,max_value_per_cell,1,True,85
session_5a5e8dd0c08c0bbe,1,personal_option,1,302,quality_item_count,显示本局蓝色品质藏品数量,quality,蓝,quality_蓝_count,1,,85
session_5a5e8dd0c08c0bbe,1,personal_option,2,1902,quality_average_area,计算本局所有蓝色品质藏品的平均占用格数,quality,蓝,quality_蓝_average_area,100,,85
session_5a5e8dd0c08c0bbe,1,personal_option,3,201,reveal_position_random,随机显示4件藏品的位置,random,4,fixed_item_count,1,,85
