session_id,auction_tier,round,status,player_key,rank,bid,name_confidence,bid_confidence,is_self,is_imputed_zero
session_6cbca280d57717dc,S,1,complete,player_9926e1c58e2e2015,1,2000000,0.997865,0.999589,false,false
session_6cbca280d57717dc,S,1,complete,player_e2de4d8b956b98be,2,1000000,0.849086,0.999415,false,false
session_6cbca280d57717dc,S,1,complete,player_3bcf6ae823731643,3,,0.895771,0.0,true,false
session_6cbca280d57717dc,S,1,complete,player_76e14fe7996e7b6d,4,0,0.889409,0.924451,false,false
session_92c4820076101c21,S,1,complete,player_699f4d1946c5cdf7,1,4000000,0.64532,0.999781,false,false
session_92c4820076101c21,S,1,complete,player_43a1d55868a9e2c2,2,3502340,0.988281,0.999803,false,false
session_92c4820076101c21,S,1,complete,player_d17cfe31058a9ef0,3,2000000,0.996683,0.999645,false,false
session_92c4820076101c21,S,1,complete,player_5e3730811248c908,4,,0.905614,0.0,true,false
session_92c4820076101c21,S,2,self_not_identified,player_43a1d55868a9e2c2,1,3502340,0.988544,0.999877,false,false
session_92c4820076101c21,S,2,self_not_identified,player_e2de4d8b956b98be,2,3000000,0.859873,0.999518,false,false
session_92c4820076101c21,S,2,self_not_identified,player_d17cfe31058a9ef0,3,2000000,0.996683,0.999607,false,false
session_92c4820076101c21,S,2,self_not_identified,player_76e14fe7996e7b6d,4,540742,0.902506,0.999882,false,false
session_92c4820076101c21,S,3,self_not_identified,player_e881dfe7cf05d18c,1,3600000,0.671517,0.99985,false,false
session_92c4820076101c21,S,3,self_not_identified,player_43a1d55868a9e2c2,2,3502350,0.988281,0.999679,false,false
session_92c4820076101c21,S,3,self_not_identified,player_d17cfe31058a9ef0,3,2000000,0.996683,0.999557,false,false
session_92c4820076101c21,S,3,self_not_identified,player_76e14fe7996e7b6d,4,540742,0.902506,0.999882,false,false
session_92c4820076101c21,S,4,self_not_identified,player_e881dfe7cf05d18c,1,4500000,0.744932,0.999818,false,false
session_92c4820076101c21,S,4,self_not_identified,player_43a1d55868a9e2c2,2,4444444,0.991668,0.999951,false,false
session_92c4820076101c21,S,4,self_not_identified,player_d17cfe31058a9ef0,3,2000000,0.996683,0.999557,false,false
session_92c4820076101c21,S,4,self_not_identified,player_76e14fe7996e7b6d,4,540742,0.902659,0.999882,false,false
session_92c4820076101c21,S,5,complete,player_43a1d55868a9e2c2,1,4888999,0.988544,0.999913,false,false
session_92c4820076101c21,S,5,complete,player_e2de4d8b956b98be,2,4000000,0.849916,0.999639,false,false
session_92c4820076101c21,S,5,complete,player_d17cfe31058a9ef0,3,2000000,0.994786,0.999645,false,false
session_92c4820076101c21,S,5,complete,player_3bcf6ae823731643,4,540742,0.88867,0.999882,true,false
session_808df8ce3ddb5546,S,1,complete,player_9b895ee5695ac423,1,5000000,0.992391,0.99711,false,false
session_808df8ce3ddb5546,S,1,complete,player_0b4b53cfbe6f1a0d,2,4644168,0.999709,0.999166,false,false
session_808df8ce3ddb5546,S,1,complete,player_2e601af98696ad81,3,3000000,0.986485,0.998932,false,false
session_808df8ce3ddb5546,S,1,complete,player_5e3730811248c908,4,500000,0.892777,0.990562,true,false
session_808df8ce3ddb5546,S,2,complete,player_9b895ee5695ac423,1,5000000,0.992391,0.99711,false,false
session_808df8ce3ddb5546,S,2,complete,player_0b4b53cfbe6f1a0d,2,4644168,0.999709,0.999166,false,false
session_808df8ce3ddb5546,S,2,complete,player_2e601af98696ad81,3,3000000,0.986485,0.998932,false,false
session_808df8ce3ddb5546,S,2,complete,player_5e3730811248c908,4,540342,0.892777,0.993177,true,false
session_808df8ce3ddb5546,S,3,complete,player_9b895ee5695ac423,1,5000000,0.992391,0.99711,false,false
session_808df8ce3ddb5546,S,3,complete,player_0b4b53cfbe6f1a0d,2,4644168,0.999709,0.999166,false,false
session_808df8ce3ddb5546,S,3,complete,player_2e601af98696ad81,3,4000000,0.986485,0.995972,false,false
session_808df8ce3ddb5546,S,3,complete,player_5e3730811248c908,4,540342,0.912777,0.930549,true,false
session_808df8ce3ddb5546,S,4,complete,player_9b895ee5695ac423,1,5000000,0.992391,0.99711,false,false
session_808df8ce3ddb5546,S,4,complete,player_0b4b53cfbe6f1a0d,2,4644168,0.999709,0.999166,false,false
session_808df8ce3ddb5546,S,4,complete,player_2e601af98696ad81,3,4000000,0.986485,0.995972,false,false
session_808df8ce3ddb5546,S,4,complete,player_5e3730811248c908,4,540342,0.892777,0.993233,true,false
session_808df8ce3ddb5546,S,5,complete,player_9b895ee5695ac423,1,5000000,0.996482,0.99711,false,false
session_808df8ce3ddb5546,S,5,complete,player_0b4b53cfbe6f1a0d,2,4000001,0.999709,0.998879,false,false
session_808df8ce3ddb5546,S,5,complete,player_2e601af98696ad81,3,4000000,0.986485,0.998131,false,false
session_808df8ce3ddb5546,S,5,complete,player_5e3730811248c908,4,540342,0.892777,0.993233,true,false
session_49cf44d925e41143,S,1,complete,player_bf1e6b60b2c9db07,1,4000000,0.998246,0.995618,false,false
session_49cf44d925e41143,S,1,complete,player_80c480ff8bcd103d,2,3000000,0.65615,0.996609,false,false
