session_id,auction_tier,round,event_choice,own_bid,bankroll,initial_bankroll,rounds_remaining,opponent_bid_count,opponent_bid_min,opponent_bid_median,opponent_bid_mean,opponent_bid_max,opponent_bid_sum,imputed_zero_row_count,alignment_status,alignment_confidence,alignment_observed_round,map_status,map_exact_counts_safe,map_track_count,map_rows,map_height_exact,map_canvas_height_exact,map_event_hint_count,map_protocol_matched_item_count,map_protocol_unmatched_item_count,map_protocol_conflict_count,map_protocol_usable_for_live_inference
session_c7d8f84b4cfebfdb,S,1,1,1,,,,0,,,,,,,verified,0.9730083167552948,1,,,,,,,,,,,
session_c7d8f84b4cfebfdb,S,2,2,1,,,,0,,,,,,,verified,0.9776663720607758,2,,,,,,,,,,,
session_c7d8f84b4cfebfdb,S,3,3,1,,,,0,,,,,,,verified,0.9796205560366312,3,,,,,,,,,,,
session_c7d8f84b4cfebfdb,S,4,1,1,,,,0,,,,,,,verified,0.9708662390708923,4,,,,,,,,,,,
session_c7d8f84b4cfebfdb,S,5,,,,,,0,,,,,,,,,,,,,,,,,,,,
session_6cbca280d57717dc,S,1,1,1,27057101,27057101,4,3,0,1000000,1000000.0,2000000,3000000,,verified,0.9730083167552948,1,,,,,,,,,,,
session_6cbca280d57717dc,S,2,,,,,,0,,,,,,,,,,,,,,,,,,,,
session_6cbca280d57717dc,S,3,,,,,,0,,,,,,,,,,,,,,,,,,,,
session_6cbca280d57717dc,S,4,,,,,,0,,,,,,,,,,,,,,,,,,,,
session_6cbca280d57717dc,S,5,,,,,,0,,,,,,,,,,,,,,,,,,,,
session_92c4820076101c21,S,1,2,1,27037101,27057101,4,3,2000000,3502340,3167446.666667,4000000,9502340,,verified,0.9730083167552948,1,,,,,,,,,,,
session_92c4820076101c21,S,2,3,540742,27037101,27057101,3,0,,,,,,,verified,0.9776663720607758,2,,,,,,,,,,,
session_92c4820076101c21,S,3,1,540742,27037101,27057101,2,0,,,,,,,verified,0.9796205560366312,3,,,,,,,,,,,
session_92c4820076101c21,S,4,2,540742,27037101,27057101,1,0,,,,,,,verified,0.9708662390708923,4,,,,,,,,,,,
session_92c4820076101c21,S,5,3,540742,27037101,27057101,1,3,2000000,4000000,3629666.333333,4888999,10888999,,verified,0.971848863363266,5,,,,,,,,,,,
session_808df8ce3ddb5546,S,1,1,500000,27017101,27057101,5,3,3000000,4644168,4214722.666667,5000000,12644168,0,verified,0.9730083167552948,1,,,,,,,,,,,
session_808df8ce3ddb5546,S,2,2,540342,27017101,27057101,4,3,3000000,4644168,4214722.666667,5000000,12644168,0,verified,0.9776663720607758,2,,,,,,,,,,,
session_808df8ce3ddb5546,S,3,3,540342,27017101,27057101,3,3,4000000,4644168,4548056.0,5000000,13644168,0,verified,0.9796205560366312,3,,,,,,,,,,,
session_808df8ce3ddb5546,S,4,1,540342,27017101,27057101,2,3,4000000,4644168,4548056.0,5000000,13644168,0,verified,0.9708662390708923,4,,,,,,,,,,,
session_808df8ce3ddb5546,S,5,2,540342,27017101,27057101,1,3,4000000,4000001,4333333.666667,5000000,13000001,0,verified,0.971848863363266,5,,,,,,,,,,,
session_49cf44d925e41143,S,1,2,529142,26997101,27057101,5,3,1919810,3000000,2973270.0,4000000,8919810,0,verified,0.9730083167552948,1,,,,,,,,,,,
session_49cf44d925e41143,S,2,3,539942,26997101,27057101,4,3,2333333,4000000,3611111.0,4500000,10833333,0,verified,0.9776663720607758,2,,,,,,,,,,,
session_49cf44d925e41143,S,3,1,539942,26997101,27057101,3,3,3333333,4000000,3944444.333333,4500000,11833333,0,verified,0.9796205560366312,3,,,,,,,,,,,
session_49cf44d925e41143,S,4,2,539942,26997101,27057101,2,3,3666667,4300001,4122222.666667,4400000,12366668,0,verified,0.9708662390708923,4,,,,,,,,,,,
session_49cf44d925e41143,S,5,3,539942,26997101,27057101,1,3,4444444,4500000,4581481.333333,4800000,13744444,0,verified,0.971848863363266,5,,,,,,,,,,,
session_f4eac3ebd9e32690,S,1,3,525142,26977101,27057101,5,3,1198964,3000000,2399654.666667,3000000,7198964,0,verified,0.9730083167552948,1,,,,,,,,,,,
