session_id,auction_tier,date,hour,continuous_game_number,mode,schema_version,duration_seconds,termination_reason,round_count_observed,parse_quality_status,parse_limitation_count,protocol_status,protocol_parser_version,protocol_event_count,protocol_valid_event_count,protocol_unknown_event_count,protocol_schema_mismatch_count,protocol_settlement_valid,settlement_total,settlement_confidence,treasure_count,detected_value_sum,value_sum_difference,value_sum_matches,catalog_assignment_found,catalog_assignment_mode,catalog_independent_of_settlement_total,geometry_source,geometry_settlement_independent,final_occupied_cells,identity_review_item_count,clue_quality_conflict_count,treasure_blue_count,treasure_purple_count,treasure_gold_count,treasure_other_quality_count,treasure_1x1_count,treasure_1x2_count,treasure_2x1_count,treasure_2x2_count,treasure_other_size_count,treasure_value_min,treasure_value_median,treasure_value_mean,treasure_value_max,postgame_review_status,postgame_value_gate_status,postgame_value_gate_matches,final_treasure_review_status
session_c7d8f84b4cfebfdb,S,2026-07-27,15,1,adb-observer,1,168.484,final-capture-complete,4,complete_with_identity_review,3,,,,,,,,6060401,0.998892,30,6060401,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,112,1,0,4,8,12,6,5,4,1,4,16,2360,88911.5,202013.366667,2685114,pending_round_clue_review,matched,true,auto_confirmed
session_6cbca280d57717dc,S,2026-07-27,16,1,adb-observer,1,73.656,final-capture-complete,1,complete,3,,,,,,,,3244642,0.982823,31,3244642,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,99,0,0,8,9,12,2,8,4,3,5,11,2446,71497,104665.870968,706471,pending_round_clue_review,matched,true,auto_confirmed
session_92c4820076101c21,S,2026-07-27,16,2,adb-observer,1,229.172,final-capture-complete,5,needs_review,3,,,,,,,,4930394,0.977682,43,4930394,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,144,1,1,5,15,17,6,10,1,3,9,20,2446,85093,114660.325581,713390,pending_round_clue_review,matched,true,auto_confirmed
session_808df8ce3ddb5546,S,2026-07-27,16,1,adb-observer,1,239.187,final-capture-complete,5,complete_with_identity_review,3,,,,,,,,6606490,0.990297,46,6606490,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,142,1,0,7,20,14,5,10,4,6,7,19,9053,79737.0,143619.347826,2539483,pending_round_clue_review,matched,true,auto_confirmed
session_49cf44d925e41143,S,2026-07-27,16,2,adb-observer,1,260.203,final-capture-complete,5,needs_review,3,,,,,,,,6483532,0.965905,51,6272758,-210774,false,true,classifier,true,yolo26n_background_catalog_scored,true,162,2,0,14,19,10,8,13,5,5,6,22,2446,60018,122995.254902,2539483,pending_final_treasure_review,mismatched,false,pending
session_f4eac3ebd9e32690,S,2026-07-27,16,3,adb-observer,1,105.672,final-capture-complete,2,complete,3,,,,,,,,4581478,0.992015,33,4581478,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,115,0,0,6,13,8,6,6,4,4,6,13,1814,73106,138832.666667,1587435,pending_round_clue_review,matched,true,auto_confirmed
session_50437c00cacd137d,S,2026-07-27,16,4,adb-observer,1,279.468,final-capture-complete,5,complete,3,,,,,,,,5546482,0.97749,60,5546482,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,198,0,0,15,19,21,5,12,5,7,9,27,2360,70620.5,92441.366667,438654,pending_round_clue_review,matched,true,auto_confirmed
session_f6fb023e4e346d07,S,2026-07-27,16,5,adb-observer,1,165.688,final-capture-complete,4,complete,3,,,,,,,,4254507,0.969626,27,4254507,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,86,0,0,5,10,10,2,5,2,5,4,11,6271,93012,157574.333333,1680426,pending_round_clue_review,matched,true,auto_confirmed
session_18c86c99f8d9dfc4,S,2026-07-27,16,6,adb-observer,1,55.234,final-capture-complete,1,needs_review,3,,,,,,,,2853359,0.985714,29,3003610,150251,false,true,classifier,true,yolo26n_background_catalog_scored,true,86,1,0,3,7,15,4,5,3,2,2,17,1814,79737,103572.758621,221819,pending_final_treasure_review,mismatched,false,pending
session_61091e55489bdeb1,S,2026-07-27,16,7,adb-observer,1,221.172,final-capture-complete,2,complete_with_identity_review,3,,,,,,,,4330926,0.988658,49,4330926,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,158,1,0,8,19,15,7,5,8,9,11,16,3747,85093,88386.244898,247007,pending_round_clue_review,matched,true,auto_confirmed
session_6f5da02ed18180f0,S,2026-07-27,16,8,adb-observer,1,253.078,final-capture-complete,4,needs_review,3,,,,,,,,4853945,0.993434,60,4853945,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,206,0,3,13,22,15,10,12,6,7,6,29,1420,64279.0,80899.083333,364855,pending_round_clue_review,matched,true,auto_confirmed
session_d757a583b1a91a39,S,2026-07-27,16,9,adb-observer,1,233.484,final-capture-complete,5,complete,3,,,,,,,,3439485,0.981035,36,3439485,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,104,0,0,10,15,5,6,10,4,3,2,17,1814,46464.0,95541.25,706471,pending_round_clue_review,matched,true,auto_confirmed
session_da2b746c1b5fb352,S,2026-07-27,16,10,adb-observer,1,191.609,final-capture-complete,3,complete_with_identity_review,3,,,,,,,,4778949,0.985601,53,4778949,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,198,1,0,9,17,20,7,7,5,2,15,24,2360,79737,90168.849057,281034,pending_round_clue_review,matched,true,auto_confirmed
session_b5d95fa1f5586c99,S,2026-07-27,16,11,adb-observer,1,151.547,final-capture-complete,4,needs_review,3,,,,,,,,2173121,0.998024,16,2180400,7279,false,true,classifier,true,yolo26n_background_catalog_scored,true,41,1,0,1,5,7,3,3,3,3,2,5,7279,117531.5,136275.0,489972,pending_final_treasure_review,mismatched,false,pending
session_eb1ec7b642389665,S,2026-07-27,16,12,adb-observer,1,185.093,final-capture-complete,2,needs_review,3,,,,,,,,3996507,0.980153,39,4479794,483287,false,true,classifier,true,yolo26n_background_catalog_scored,true,109,2,0,9,10,13,7,11,8,3,4,13,7982,85093,114866.512821,659511,pending_final_treasure_review,mismatched,false,pending
session_1c09bbfbb02cc26e,S,2026-07-27,17,13,adb-observer,1,123.25,final-capture-complete,1,complete_with_identity_review,3,,,,,,,,5896111,0.998168,60,5896111,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,205,1,0,15,19,22,4,10,11,4,6,29,2360,73106.0,98268.516667,385956,pending_round_clue_review,matched,true,auto_confirmed
session_3643fef85c5d2f1d,S,2026-07-27,17,14,adb-observer,1,63.203,final-capture-complete,1,complete,3,,,,,,,,3071217,0.99467,45,3071217,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,129,0,0,8,19,9,9,11,7,6,11,10,1420,42261,68249.266667,247007,pending_round_clue_review,matched,true,auto_confirmed
session_8cb17dbc8c196f0e,S,2026-07-27,17,15,adb-observer,1,156.343,final-capture-complete,4,complete,3,,,,,,,,3798915,0.991061,25,3798915,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,100,0,0,5,7,7,6,3,1,2,7,12,3747,98067,151956.6,971708,pending_round_clue_review,matched,true,auto_confirmed
session_52176d588ef25cbe,S,2026-07-27,17,16,adb-observer,1,186.782,final-capture-complete,5,complete,3,,,,,,,,4196760,0.943945,30,4196760,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,97,0,0,5,14,7,4,6,4,4,6,10,5567,62431.0,139892.0,1635681,pending_round_clue_review,matched,true,auto_confirmed
session_106ff61c57bde0e8,S,2026-07-27,17,17,adb-observer,1,267.219,final-capture-complete,5,complete_with_identity_review,3,,,,,,,,5052251,0.992178,39,5052251,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,118,1,0,11,10,12,6,7,4,6,4,18,2446,67435,129544.897436,1561430,pending_round_clue_review,matched,true,auto_confirmed
session_94b64ed42b8a59cb,S,2026-07-27,17,18,adb-observer,1,80.907,final-capture-complete,1,complete_with_identity_review,3,,,,,,,,6739423,0.985592,45,6739423,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,150,1,0,6,16,15,8,10,4,4,7,20,2446,98067,149764.955556,878245,pending_round_clue_review,matched,true,auto_confirmed
session_f6ae2b96f8a3f73e,S,2026-07-27,17,19,adb-observer,1,65.64,final-capture-complete,1,complete,3,,,,,,,,1310376,0.984997,20,1310376,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,69,0,0,3,9,5,3,6,1,1,2,10,1814,56185.0,65518.8,225664,pending_round_clue_review,matched,true,auto_confirmed
session_d2324e7d80fb1ded,S,2026-07-27,17,20,adb-observer,1,72.0,final-capture-complete,1,complete,3,,,,,,,,7418418,0.990183,60,7418418,0,true,true,classifier,true,yolo26n_background_catalog_scored,true,208,0,0,12,22,16,10,8,7,8,8,29,1420,70887.5,123640.3,1486670,pending_round_clue_review,matched,true,auto_confirmed
